Gene,Module,Log2FC,Adj_PValue,Regulation
NPAS1,module_6,1.7343464082425761,0.040122672323533295,Up
S100A10,module_6,1.5542270955020743,0.012213387912149763,Up
ETNPPL,module_6,1.734197432070027,0.012852217368120795,Up
IRX5,module_6,6.118709401272527,0.0014895041452989322,Up
PRR16,module_6,1.4468828815760808,0.00036854104974665196,Up
RUBCNL,module_6,3.700561636242476,0.005705742721680878,Up
KCNK3,module_6,2.6415923691684435,0.02041450380672668,Up
FSTL5,module_6,1.856172538120566,0.006791681372394078,Up
MYOM1,module_6,-1.0970137152022805,0.0004023606997122889,Down
ABCA1,module_6,1.4612160718085299,2.4629498146181224e-05,Up
PAM,module_6,1.0002737258921268,2.762946830178135e-06,Up
MGAT4C,module_6,1.204019296876503,0.023623731708953474,Up
IGSF11,module_6,1.9196074578995734,0.004509939955834739,Up
ALK,module_6,3.602450858497334,1.9759266484970203e-08,Up
QTRT2,module_6,1.0523297668851694,0.011661033441990173,Up
NECAB2,module_6,2.5652940665312287,0.0008569970007543805,Up
GPR149,module_6,1.3467042162884821,1.0043937760101983e-07,Up
FANCL,module_6,1.1061632885411083,0.004889640643181145,Up
SIAH3,module_6,-1.0382407721737636,1.0427311928822981e-08,Down
ROM1,module_6,2.2972974475795884,0.015417220889001337,Up
SPDEF,module_6,-2.4204916456924814,0.004666046363615512,Down
CALCR,module_6,7.60682562127395,5.1183188828278305e-05,Up
KLHL13,module_6,-1.1132011708503082,1.4063655167576847e-07,Down
DCHS1,module_6,2.054955001970082,0.022367728300137637,Up
GSTM1,module_6,2.1507712676121544,0.009925169528582519,Up
CCNJL,module_6,-2.5561012567306287,0.002625894666838649,Down
PKD2L1,module_6,5.371760689927509,0.006540588164749512,Up
FXYD6-FXYD2,module_6,1.6863305858332638,0.04741244573417628,Up
CXCL14,module_6,2.8624240278876765,0.02004559106183591,Up
RBM4B,module_6,1.3330535747088466,0.006540588164749512,Up
SHC4,module_6,1.789031844027128,0.002625894666838649,Up
DNHD1,module_6,1.8574854120522228,0.005815320579483231,Up
PTGER3,module_6,2.596162998840699,0.009461692846328387,Up
RASGRF2,module_6,-1.5366997966408746,0.005593097229524588,Down
TM4SF18,module_6,3.8704238727873115,0.018788753960473623,Up
CBLN4,module_6,-2.2732688889553256,0.03831133303353059,Down
SCML4,module_6,3.344643185944772,0.03247655672440468,Up
BTN3A3,module_6,1.9704402667809642,0.01019940645524703,Up
SPON1,module_6,1.8977127607002662,0.025178315464299043,Up
MARCO,module_6,3.129907806071148,0.015195211710341466,Up
DSP,module_6,2.641724395390261,0.03423374801355049,Up
CARMIL1,module_6,2.5846481937535652,0.014296047686445348,Up
TGFBR3,module_6,2.448447343090411,0.002486908389565183,Up
DGKG,module_6,1.7892520747514922,0.043053204171423776,Up
SDC4,module_6,1.9129447516889895,0.022694648179193595,Up
CYP27A1,module_6,1.8074114899013864,0.009925169528582519,Up
MVP,module_6,1.645296469372835,0.026917087238204945,Up
THBD,module_6,1.9387053903699725,0.011071248264338354,Up
CALB1,module_6,3.651563756535557,0.0012196821158670195,Up
YES1,module_6,1.3513284616370127,0.04746228510655592,Up
NFE2L3,module_6,2.529954015043301,0.006765418260086795,Up
COL21A1,module_6,2.4133910629389947,0.0002821734121886809,Up
VAT1L,module_6,1.1683437138304391,2.2514434676977645e-06,Up
NECTIN1,module_6,-1.5427049114002143,0.011939684990056433,Down
AFF2,module_6,-1.0622949131683894,0.032850592366170196,Down
CA2,module_6,1.0804795447451605,0.01019940645524703,Up
TDO2,module_6,-4.621495177257365,0.011071248264338354,Down
WDR72,module_6,3.9533714194773224,0.0033225188075078744,Up
TAFA2,module_6,-1.0608182658400573,0.00028885088984529803,Down
SYNPO,module_6,-1.3206000164911826,4.638634162452658e-05,Down
MID1,module_6,1.9905753545431513,5.863248321557643e-06,Up
CD84,module_6,3.043736027131189,0.02033362530444922,Up
STOX1,module_6,2.126504678135456,0.004889640643181145,Up
COL4A4,module_6,2.600766776554899,8.94249093919673e-05,Up
HMGN2,module_6,1.1029386808307409,0.04203010595431559,Up
F2R,module_6,2.458989129935585,0.006112984912588684,Up
CALB2,module_6,4.088084561048176,4.131685212665847e-05,Up
COL4A3,module_6,2.236766658348574,7.197251242455375e-06,Up
NNAT,module_6,2.5883808440069265,0.010449931154704068,Up
FKBP5,module_6,1.7970227906803464,0.012976925817439556,Up
S100B,module_6,2.0320467030667912,1.8292410574905811e-06,Up
PTER,module_6,4.408810770468095,0.004579324302377895,Up
MYBPC1,module_6,2.023155276048344,0.002301599577019995,Up
CYBRD1,module_6,2.7499474888005677,0.00046939336175045123,Up
EXOC1L,module_6,-5.453948893785161,0.00251501956983309,Down
PXDNL,module_6,2.692776564586603,0.011071248264338354,Up
ZNF804A,module_6,-1.3701886178725324,0.0036129094463450075,Down
