Gene,Module
TMEM123,module_6
SMIM19,module_6
GPRASP2,module_6
MRFAP1L1,module_6
PTPMT1,module_6
FLYWCH2,module_6
WDR31,module_6
VASN,module_6
ZNF618,module_6
ADCY9,module_6
CGAS,module_6
SLC26A9,module_6
NT5C3B,module_6
CCDC124,module_6
HAUS1,module_6
SLC26A7,module_6
MARCHF3,module_6
ZNF554,module_6
CKB,module_6
ATG4A,module_6
KCTD12,module_6
OMA1,module_6
DDIT4L,module_6
SLC25A26,module_6
FBXO17,module_6
GPR146,module_6
FCRL1,module_6
FCRL3,module_6
LRRC42,module_6
GBP4,module_6
GBP5,module_6
LRRC56,module_6
CISH,module_6
MALSU1,module_6
UHRF2,module_6
TBCB,module_6
ZNF689,module_6
FCHO2,module_6
ARHGEF25,module_6
ZNF501,module_6
SLC5A11,module_6
NOSTRIN,module_6
ALPK2,module_6
EVI5L,module_6
TRMT61A,module_6
C12orf56,module_6
DIS3L,module_6
ARL11,module_6
FANCD2OS,module_6
IQCD,module_6
DHRS1,module_6
WDFY2,module_6
RAB3C,module_6
